State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Dharwad,Hubli (Amaragol),Bengal Gram (Gram)(Whole),Average (Whole),FAQ,2001-01-10,1400,1400.0,1400,6
Karnataka,Dharwad,Hubli (Amaragol),Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,2001-01-10,1380,1380.0,1380,8
Karnataka,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,2001-01-10,1600,1900.0,1800,9
Karnataka,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2001-01-10,601,1181.0,1105,10
Karnataka,Dharwad,Hubli (Amaragol),Maize,Local,FAQ,2001-01-10,420,445.0,440,4
Karnataka,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,2001-01-10,50,300.0,250,23
Karnataka,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,2001-01-10,50,250.0,230,23
Karnataka,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,2001-01-10,150,350.0,280,23
Karnataka,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2001-01-10,380,850.0,600,24
Karnataka,Dharwad,Hubli (Amaragol),Same/Savi,Same/Savi Local,FAQ,2001-01-10,771,771.0,771,122
Karnataka,Dharwad,Hubli (Amaragol),Sunflower,Sunflower,FAQ,2001-01-10,1409,1409.0,1409,14
Karnataka,Dharwad,Hubli (Amaragol),Wheat,White,FAQ,2001-01-10,771,771.0,771,1
Maharashtra,Kolhapur,Kolhapur,Brinjal,Round,FAQ,2001-01-27,400,750.0,575,35
Maharashtra,Kolhapur,Kolhapur,Cauliflower,Other,FAQ,2001-01-27,90,225.0,150,34
Maharashtra,Kolhapur,Kolhapur,Coriander (Leaves),Local,FAQ,2001-01-27,600,1000.0,800,43
Maharashtra,Kolhapur,Kolhapur,Grapes,Green,Medium,2001-01-27,1200,2500.0,1850,22
Maharashtra,Kolhapur,Kolhapur,Orange,Nagpuri,Medium,2001-01-27,800,1100.0,950,18
Maharashtra,Kolhapur,Kolhapur,Pineapple,Other,Small,2001-01-27,210,560.0,400,21
Maharashtra,Kolhapur,Kolhapur,Apple,Red Gold,Medium,2001-02-08,1750,4000.0,2875,17
Maharashtra,Kolhapur,Kolhapur,Brinjal,Round,FAQ,2001-02-08,500,1060.0,775,35
Maharashtra,Kolhapur,Kolhapur,Cauliflower,Other,FAQ,2001-02-08,90,345.0,225,34
Maharashtra,Kolhapur,Kolhapur,Chikoos (Sapota),Other,Medium,2001-02-08,250,1125.0,700,71
Maharashtra,Kolhapur,Kolhapur,Coriander (Leaves),Local,FAQ,2001-02-08,1600,4800.0,3200,43
Maharashtra,Kolhapur,Kolhapur,Ginger (Dry),Other,FAQ,2001-02-08,1000,1000.0,1000,27
Maharashtra,Kolhapur,Kolhapur,Guar,Other,FAQ,2001-02-08,1400,1700.0,1550,75
Maharashtra,Kolhapur,Kolhapur,Gur (Jaggery),Other,FAQ,2001-02-08,1200,1735.0,1475,74
Maharashtra,Kolhapur,Kolhapur,Mousambi (Sweet Lime),Other,Medium,2001-02-08,900,2160.0,1525,77
Maharashtra,Kolhapur,Kolhapur,Onion,Red,FAQ,2001-02-08,200,620.0,350,23
Maharashtra,Kolhapur,Kolhapur,Potato,Other,FAQ,2001-02-08,300,660.0,500,24
Maharashtra,Kolhapur,Kolhapur,Tomato,Other,FAQ,2001-02-08,200,500.0,350,78
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Black Gram (Urd Beans)(Whole),Desi,FAQ,2001-03-07,750,770.0,760,8
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Green Gram (Moong)(Whole),Local (Whole),FAQ,2001-03-07,1600,1800.0,1700,9
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Onion,Bellary,FAQ,2001-03-07,400,450.0,420,23
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Black Gram (Urd Beans)(Whole),Desi,FAQ,2001-03-08,1500,1700.0,1600,8
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Green Gram (Moong)(Whole),Local (Whole),FAQ,2001-03-08,1600,1800.0,1700,9
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Onion,Bellary,FAQ,2001-03-08,400,450.0,420,23
Nagaland,Kohima,Khuzama,Garlic,Other,FAQ,2001-03-12,4000,5000.0,4500,25
Nagaland,Kohima,Khuzama,Ginger (Dry),Other,FAQ,2001-03-12,500,600.0,550,27
Nagaland,Kohima,Khuzama,Green Chilli,Other,FAQ,2001-03-12,1000,1500.0,1200,87
Nagaland,Kohima,Khuzama,Maize,Local,FAQ,2001-03-12,500,700.0,600,4
Nagaland,Kohima,Khuzama,Potato,Other,FAQ,2001-03-12,500,700.0,600,24
Nagaland,Kohima,Khuzama,Rice,AP Raw Rice 5293,FAQ,2001-03-12,900,1390.0,1000,3
Nagaland,Kohima,Khuzama,Soyabean,Other,FAQ,2001-03-12,1200,1500.0,1300,13
Maharashtra,Kolhapur,Kolhapur,Brinjal,Round,FAQ,2001-03-13,235,370.0,240,35
Maharashtra,Kolhapur,Kolhapur,Coriander (Leaves),Local,FAQ,2001-03-13,580,800.0,580,43
Maharashtra,Kolhapur,Kolhapur,Onion,Red,FAQ,2001-03-13,220,400.0,220,23
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-13,1869,2462.0,2359,8
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Bold Kernel,FAQ,2001-03-13,1328,1686.0,1586,10
Tamil Nadu,Cuddalore,Virudhachalam,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-13,353,375.0,370,5
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-13,534,564.0,550,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-13,461,528.0,500,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-13,1513,2010.0,1952,11
Pondicherry,Pondicherry,Thattanchavady,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-14,1305,2358.0,2344,8
Pondicherry,Pondicherry,Thattanchavady,Chili Red,Red,FAQ,2001-03-14,171,240.0,200,26
Pondicherry,Pondicherry,Thattanchavady,Green Gram (Moong)(Whole),Local (Whole),FAQ,2001-03-14,1760,1815.0,1769,9
Pondicherry,Pondicherry,Thattanchavady,Groundnut,Seed,FAQ,2001-03-14,985,1255.0,1177,10
Pondicherry,Pondicherry,Thattanchavady,Paddy (Dhan)(Common),Paddy,FAQ,2001-03-14,317,433.0,390,2
Pondicherry,Pondicherry,Thattanchavady,Ragi (Finger Millet),Local,FAQ,2001-03-14,560,571.0,569,30
Tamil Nadu,Cuddalore,Virudhachalam,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-14,446,454.0,450,28
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-14,2202,2367.0,2269,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-14,2447,2777.0,2672,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Big (With Shell),FAQ,2001-03-14,1420,1653.0,1603,10
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-14,470,525.0,504,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-14,534,581.0,572,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-14,1636,2027.0,1986,11
Maharashtra,Kolhapur,Kolhapur,Brinjal,Round,FAQ,2001-03-15,375,600.0,375,35
Maharashtra,Kolhapur,Kolhapur,Coriander (Leaves),Local,FAQ,2001-03-15,500,600.0,500,43
Maharashtra,Kolhapur,Kolhapur,Onion,Red,FAQ,2001-03-15,220,410.0,220,23
Pondicherry,Pondicherry,Thattanchavady,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-15,2189,2318.0,2305,8
Pondicherry,Pondicherry,Thattanchavady,Green Gram (Moong)(Whole),Local (Whole),FAQ,2001-03-15,1506,1796.0,1796,9
Pondicherry,Pondicherry,Thattanchavady,Groundnut,Seed,FAQ,2001-03-15,1080,1263.0,1218,10
Pondicherry,Pondicherry,Thattanchavady,Paddy (Dhan)(Common),Paddy,FAQ,2001-03-15,372,434.0,406,2
Pondicherry,Pondicherry,Thattanchavady,Ragi (Finger Millet),Local,FAQ,2001-03-15,506,516.0,510,30
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-15,470,479.0,475,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-15,1989,2389.0,2100,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-15,1415,1696.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-15,370,370.0,370,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-15,479,483.0,481,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-15,453,490.0,473,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Super Fine,FAQ,2001-03-15,480,495.0,487,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-15,480,519.0,506,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Medium,FAQ,2001-03-15,521,573.0,560,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-15,1736,1886.0,1750,11
Pondicherry,Pondicherry,Thattanchavady,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-16,1489,2316.0,2303,8
Pondicherry,Pondicherry,Thattanchavady,Green Gram (Moong)(Whole),Local (Whole),FAQ,2001-03-16,1803,1825.0,1811,9
Pondicherry,Pondicherry,Thattanchavady,Groundnut,Seed,FAQ,2001-03-16,925,1256.0,1231,10
